seed,n0,m0,M,time,solution,termination,ncalls
10,7,70,20.0,32.43,5.255142718436482,OPTIMAL,1573
1,8,80,20.0,64.229,5.8428700449206605,OPTIMAL,2821
2,8,80,20.0,78.489,4.641726120940829,OPTIMAL,2647
3,8,80,20.0,45.204,1.4898016747882619,OPTIMAL,1374
4,8,80,20.0,45.841,3.152025657377453,OPTIMAL,1912
5,8,80,20.0,78.41,4.089808541891621,OPTIMAL,2651
6,8,80,20.0,57.76,4.0565068573016525,OPTIMAL,2029
7,8,80,20.0,55.15,2.345266664348639,OPTIMAL,2053
8,8,80,20.0,16.5,7.647813997794796,OPTIMAL,560
9,8,80,20.0,32.56,-0.7288187246456703,OPTIMAL,1311
10,8,80,20.0,40.93,5.541656049536352,OPTIMAL,1924
1,9,90,20.0,227.875,4.305484696052662,OPTIMAL,8683
2,9,90,20.0,223.031,5.1874841534196765,OPTIMAL,8841
3,9,90,20.0,78.129,1.0571635257160372,OPTIMAL,3063
4,9,90,20.0,45.061,2.346365088141554,OPTIMAL,2356
5,9,90,20.0,77.387,3.5543184082203063,OPTIMAL,3112
6,9,90,20.0,201.674,3.9082681080386745,OPTIMAL,7144
7,9,90,20.0,66.425,1.0812791495559164,OPTIMAL,2715
8,9,90,20.0,15.162,9.599567369086682,OPTIMAL,574
9,9,90,20.0,33.312,-0.16728177569878644,OPTIMAL,1344
10,9,90,20.0,310.438,6.128382667953503,OPTIMAL,11433
1,10,100,20.0,639.873,5.801900786547563,OPTIMAL,23141
2,10,100,20.0,172.213,5.832955632370456,OPTIMAL,6884
3,10,100,20.0,155.345,2.1478339208141093,OPTIMAL,6057
4,10,100,20.0,162.764,1.8355567270942157,OPTIMAL,6779
5,10,100,20.0,208.15,3.7796627593124787,OPTIMAL,8215
6,10,100,20.0,295.364,4.090225890408428,OPTIMAL,12537
7,10,100,20.0,163.437,1.5345277374681987,OPTIMAL,7423
8,10,100,20.0,156.162,9.41769509270448,OPTIMAL,6047
9,10,100,20.0,150.604,-0.5486771441142604,OPTIMAL,6255
10,10,100,20.0,491.647,7.157711714950044,OPTIMAL,19972
1,11,110,20.0,1572.057,5.753685034069468,OPTIMAL,57834
2,11,110,20.0,1132.159,5.630125383131757,OPTIMAL,42218
3,11,110,20.0,212.967,1.8446604800890911,OPTIMAL,8452
4,11,110,20.0,217.062,1.323176477971023,OPTIMAL,8460
5,11,110,20.0,210.418,3.8819685611371693,OPTIMAL,8765
6,11,110,20.0,1054.897,4.526489210309822,OPTIMAL,40239
7,11,110,20.0,495.913,1.1831519379640008,OPTIMAL,19161
8,11,110,20.0,366.722,10.468634235508635,OPTIMAL,11655
9,11,110,20.0,149.924,0.63622654371869,OPTIMAL,6662
10,11,110,20.0,1800.625,8.137664706213236,Time limit reached,71091
1,12,120,20.0,1801.277,6.924090730725381,Time limit reached,66566
2,12,120,20.0,1136.757,6.46101679409542,OPTIMAL,44476
3,12,120,20.0,345.535,0.4357208569077342,OPTIMAL,14353
4,12,120,20.0,555.79,1.2984209575426806,OPTIMAL,20962
5,12,120,20.0,1276.105,3.4527994565220217,OPTIMAL,50235
6,12,120,20.0,1801.14,4.995955141401523,Time limit reached,61588
7,12,120,20.0,755.598,0.7008388365773267,OPTIMAL,26538
8,12,120,20.0,200.113,11.18076898283774,OPTIMAL,6047
9,12,120,20.0,706.202,-0.14020280998254736,OPTIMAL,29894
10,12,120,20.0,1801.38,7.72160582407479,Time limit reached,60333
1,13,130,20.0,1801.741,8.701645749959157,Time limit reached,65362
2,13,130,20.0,1800.891,8.121835933536946,Time limit reached,65278
3,13,130,20.0,1417.477,0.5865693069100981,OPTIMAL,55393
4,13,130,20.0,756.925,2.9239501242871033,OPTIMAL,29891
5,13,130,20.0,1801.439,5.929407016644549,Time limit reached,64201
6,13,130,20.0,1800.241,6.5671032721921465,Time limit reached,60368
7,13,130,20.0,1006.404,0.9455886256457742,OPTIMAL,35765
8,13,130,20.0,1800.779,12.359400870705748,Time limit reached,54615
9,13,130,20.0,840.398,0.1455289930879985,OPTIMAL,31066
10,13,130,20.0,1800.956,9.140937339839525,Time limit reached,60791
1,14,140,20.0,1801.036,8.113096023484802,Time limit reached,56733
2,14,140,20.0,1800.774,9.478283235439287,Time limit reached,60006
3,14,140,20.0,1800.906,4.5933862308078375,Time limit reached,60048
4,14,140,20.0,1800.992,2.4325326223609043,Time limit reached,66861
5,14,140,20.0,1800.659,3.6144711305163604,Time limit reached,66484
6,14,140,20.0,1800.315,7.025178518463751,Time limit reached,61667
7,14,140,20.0,1626.801,2.285367495261196,OPTIMAL,57487
8,14,140,20.0,1802.002,13.152357440315829,Time limit reached,50123
9,14,140,20.0,1804.527,3.0328278202097714,Time limit reached,55437
10,14,140,20.0,1801.85,9.907734046910281,Time limit reached,53635
1,15,150,20.0,1801.268,9.92950511342992,Time limit reached,56314
2,15,150,20.0,1800.522,10.04649103328648,Time limit reached,57094
3,15,150,20.0,1801.123,4.48858767427835,Time limit reached,60592
4,15,150,20.0,1800.826,4.380217598689866,Time limit reached,63681
5,15,150,20.0,1800.977,5.858183291889615,Time limit reached,56798
6,15,150,20.0,1801.369,5.800282562152121,Time limit reached,57442
7,15,150,20.0,1801.422,5.637489543177012,Time limit reached,57187
8,15,150,20.0,1801.128,13.164245009787162,Time limit reached,47035
9,15,150,20.0,1800.861,3.1635429443329914,Time limit reached,60051
10,15,150,20.0,1800.626,10.191354174493902,Time limit reached,62896
